ENSG00000171735	CAMTA1
ENSG00000100239	PPP6R2
ENSG00000204060	FOXO6
ENSG00000081189	MEF2C
ENSG00000172915	NBEA
ENSG00000077254	USP33
ENSG00000160877	NACC1
ENSG00000198408	MGEA5
ENSG00000170500	LONRF2
ENSG00000068745	IP6K2
ENSG00000170396	ZNF804A
ENSG00000170921	TANC2
ENSG00000135250	SRPK2
ENSG00000115464	USP34
ENSG00000185955	C7orf61
ENSG00000080503	SMARCA2
ENSG00000113391	FAM172A
ENSG00000239569	-
ENSG00000129245	FXR2
ENSG00000106299	WASL
ENSG00000047849	MAP4
ENSG00000115526	CHST10
ENSG00000142599	RERE
ENSG00000257923	CUX1
ENSG00000213639	PPP1CB
ENSG00000074603	DPP8
ENSG00000131558	EXOC4
ENSG00000107862	GBF1
ENSG00000102858	MGRN1
ENSG00000159140	SON
ENSG00000245526	LINC00461
ENSG00000008441	NFIX
ENSG00000256762	STH
ENSG00000078328	RBFOX1
ENSG00000163590	PPM1L
ENSG00000181722	ZBTB20
ENSG00000114439	BBX
ENSG00000130449	ZSWIM6
ENSG00000117411	B4GALT2
ENSG00000119042	SATB2
ENSG00000048828	FAM120A
ENSG00000197386	HTT
ENSG00000183530	PRR14L
ENSG00000198218	QRICH1
ENSG00000101746	NOL4
ENSG00000183955	SETD8
ENSG00000174871	CNIH2
ENSG00000126500	FLRT1
ENSG00000181555	SETD2
ENSG00000187323	DCC
ENSG00000147862	NFIB
ENSG00000123636	BAZ2B
ENSG00000120071	KIAA1267
ENSG00000073969	NSF
ENSG00000124785	NRN1
ENSG00000213600	-
ENSG00000184486	POU3F2
ENSG00000059915	PSD
ENSG00000136231	IGF2BP3
ENSG00000140262	TCF12
ENSG00000135365	PHF21A
ENSG00000174996	KLC2
ENSG00000164080	RAD54L2
ENSG00000114790	ARHGEF26
ENSG00000105085	MED26
ENSG00000114302	PRKAR2A
ENSG00000162989	KCNJ3
ENSG00000108018	SORCS1
ENSG00000136535	TBR1
ENSG00000145242	EPHA5
ENSG00000120029	C10orf76
ENSG00000119866	BCL11A
ENSG00000144227	NXPH2
ENSG00000145632	PLK2
ENSG00000151276	MAGI1
ENSG00000008300	CELSR3
ENSG00000168488	ATXN2L
ENSG00000179837	RBM15B
ENSG00000153233	PTPRR
ENSG00000066135	KDM4A
ENSG00000186868	MAPT
ENSG00000128573	FOXP2
ENSG00000100154	TTC28
ENSG00000131051	RBM39
ENSG00000173473	SMARCC1
ENSG00000196781	TLE1
ENSG00000198822	GRM3
ENSG00000244462	RBM12
ENSG00000171681	ATF7IP
ENSG00000178252	WDR6
ENSG00000171988	JMJD1C
ENSG00000118946	PCDH17
ENSG00000148798	INA
ENSG00000117408	IPO13
ENSG00000003756	RBM5
ENSG00000198369	SPRED2
ENSG00000197724	PHF2
ENSG00000067560	RHOA
ENSG00000090975	PITPNM2
ENSG00000071575	TRIB2
ENSG00000175115	PACS1
ENSG00000205726	ITSN1
ENSG00000168702	LRP1B
ENSG00000183454	GRIN2A
ENSG00000105894	PTN
ENSG00000005108	THSD7A
ENSG00000171222	SCAND1
ENSG00000076201	PTPN23
ENSG00000163618	CADPS
ENSG00000138136	LBX1
ENSG00000100150	DEPDC5
ENSG00000107105	ELAVL2
ENSG00000005483	MLL5
ENSG00000144218	AFF3
ENSG00000008197	TFAP2D
ENSG00000178235	SLITRK1
ENSG00000156395	SORCS3
ENSG00000103111	MON1B
ENSG00000106536	POU6F2
ENSG00000043355	ZIC2
ENSG00000172046	USP19
ENSG00000164076	CAMKV
ENSG00000240184	PCDHGC3
ENSG00000185829	ARL17A
ENSG00000170382	LRRN2
ENSG00000139910	NOVA1
ENSG00000004534	RBM6
ENSG00000174953	DHX36
ENSG00000082898	XPO1
ENSG00000157837	-
ENSG00000181789	COPG
ENSG00000187416	LHFPL3
ENSG00000108510	MED13
ENSG00000092841	MYL6
ENSG00000139697	SBNO1
ENSG00000204406	MBD5
ENSG00000167702	KIFC2
ENSG00000102572	STK24
ENSG00000064726	BTBD1
ENSG00000184304	PRKD1
ENSG00000181790	BAI1
ENSG00000172260	NEGR1
ENSG00000080802	CNOT4
ENSG00000137872	SEMA6D
ENSG00000160799	CCDC12
ENSG00000164588	HCN1
